N° de ligne,Code Commande,Conforme RoHS ?,Votre référence produit,Remarques,Qté :,Référence du fabricant,Nom du fabricant,Fabricant / Description,Disponibilité,Prix unitaire,Prix,Prix avec remise
1,1526727,Directive RoHS: YES / PHTALATES: YES,,,5.0,"G403",MULTICOMP PRO,"MULTICOMP PRO  Coffret plastique, Portable, ABS, 24 mm, 90 mm, 50 mm, IP54",1087,3.0500,15.25,,
2,1854514,Directive RoHS: YES / PHTALATES: YES,,,5.0,"FC681465",CLIFF ELECTRONIC COMPONENTS,"CLIFF ELECTRONIC COMPONENTS  Connecteur d'alimentation DC, Embase, 5 A, 2.5 mm, Montage PCB, Soudage",7050,2.0000,10.00,,
3,1611825,Directive RoHS: YES / PHTALATES: YES,,,5.0,"AB15T-32.768KHZ",ABRACON,"ABRACON  Cristal, 32.768 kHz, Cylindre radial, diamètre 5.1mm x 1.5mm, 12.5 pF, 20 ppm, Série AB15T",729,1.4800,7.40,,
4,2056606,Directive RoHS: YES / PHTALATES: YES,,,5.0,"S8201-46R",HARWIN,"HARWIN  Support batterie, Pile bouton, 1225, CMS",912,0.3360,1.68,,
5,2613990,Directive RoHS: YES / PHTALATES: YES,,,5.0,"MC001293",MULTICOMP PRO,"MULTICOMP PRO  Connecteur audio pour téléphone, 4 Contact(s), Femelle, 3.5 mm, Montage PCB",1918,0.9220,4.61,,
6,2613989,Directive RoHS: YES / PHTALATES: YES,,,5.0,"MC001292",MULTICOMP PRO,"MULTICOMP PRO  Connecteur audio pour téléphone, 4 Contact(s), Mâle, 3.5 mm, Montage sur câble",2022,1.1100,5.55,,
7,2577328,Directive RoHS: YES / PHTALATES: YES,,,10.0,"BG125-05-A-1-1-0440-N-D",GCT (GLOBAL CONNECTOR TECHNOLOGY),"GCT (GLOBAL CONNECTOR TECHNOLOGY)  Embase PCB, Double entrée, Carte-à-carte, 2.54 mm, 1 Rangée(s), 5 Contact(s)",1879,0.4750,4.75,,
8,2847902,Directive RoHS: YES / PHTALATES: YES,,,5.0,"2212SM-03G-75-B1-PCR",MULTICOMP PRO,"MULTICOMP PRO  Embase PCB, Carte-à-carte, 2.54 mm, 1 Rangée(s), 3 Contact(s), Montage CMS",820,0.4580,2.29,,
9,9786465,Directive RoHS: YES / PHTALATES: YES,,,5.0,"54819-0519",MOLEX,"MOLEX  Connecteur USB, Mini USB Type B, USB 2.0, Embase, 5 Voies, Montage traversant, Coudée",21128,1.5500,7.75,,
10,2847911,Directive RoHS: YES / PHTALATES: YES,,,10.0,"2212SM-14G-75-B1-PCR",MULTICOMP PRO,"MULTICOMP PRO  Embase PCB, Carte-à-carte, 2.54 mm, 1 Rangée(s), 14 Contact(s), Montage CMS",434,0.8430,8.43,,
11,2520149,Directive RoHS: YES / PHTALATES: YES,,,5.0,"68713214522",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  Connecteur carte FFC / FPC, ZIF, Horizontal, 0.5 mm, 32 Contact(s), Embase, Montage CMS, Dessous",1134,1.5300,7.65,,
12,2817924,Directive RoHS: YES / PHTALATES: YES,,,5.0,"MCOT128064H1V-WM",MIDAS,"MIDAS  OLED graphique, 128 x 64 pixels, Blanc sur noir, 3V, I2C, Parallèle, SPI, 60.5mm x 37mm, -40 °C",39,24.9400,124.70,,
13,2065165,Directive RoHS: YES / PHTALATES: YES,,,5.0,"CR1220",MULTICOMP,"MULTICOMP  Batterie, 3 V, 1220, Lithium, 38 mAh, Plat, 12.5 mm",1238,0.8650,4.33,,
14,2987673,Directive RoHS: YES / PHTALATES: YES,,,20.0,"960040021",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  Entretoise, Ronde, Nylon, Diam. interne 2,7 mm, Diam. externe 5 mm, Longueur 4 mm, Série WA-SPARO",Out of Stock,0.1980,3.96,,
15,1848394,Directive RoHS: YES / PHTALATES: YES,,,10.0,"EEUFM1V151",PANASONIC,"PANASONIC  Condensateur électrolytique, 150 µF, 35 V, Série FM, ± 20%, À sorties radiales, 8 mm",1550,0.3720,3.72,,
16,130692,Directive RoHS: YES / PHTALATES: YES,,,1.0,"CW8100",CHEMTRONICS,"CHEMTRONICS  Stylo distributeur de Flux, Sans nettoyage, 9g,",439,10.1400,10.14,,
17,2493648,Directive RoHS: YES / PHTALATES: YES,,,10.0,"CTB922HD/4",CAMDENBOSS,"CAMDENBOSS  Bornier enfichable, 3.5 mm, 4 Voies, 26AWG à 16AWG, 1.3 mm², Par vis, 10 A",4360,1.0400,10.40,,
18,2527592,Directive RoHS: YES / PHTALATES: YES,,,10.0,"CTBP93HD/4",CAMDENBOSS,"CAMDENBOSS  Bornier, Closed Ended, Embase, 3.5 mm, 4 Voies, Traversant angle droit",21,0.5130,5.13,,
19,1581112,Directive RoHS: YES / PHTALATES: YES,,,5.0,"MCL034PD",MULTICOMP PRO,"MULTICOMP PRO  LED, Rouge, Traversant, T-1 (3mm), 10 mA, 2.1 V, 650 nm",21191,0.0718,0.36,,

,,,,,,,Sous-total,238.09
,,,,,,,Total des marchandises,238.09
,,,,,,,Livraison,0.00
,,,,,,,TVA,47.62
,,,,,,,Total,285.71
